id,title,description,bank,provider,category,is_active,created_at,updated_at
1,Lounge,"20% dto. adicional sobre el precio vigente, todos los domingos.",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848230,2025-06-14T00:15:33.848253
2,Taringa,40% dto. todos los sábados de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848270,2025-06-14T00:15:33.848272
3,Imared,20% dto. todos los días en pagos presenciales,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848283,2025-06-14T00:15:33.848285
4,Poliglota,Hasta 76% dto. para estudiar idiomas,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848293,2025-06-14T00:15:33.848294
5,Solar Fotovoltaica,4 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848301,2025-06-14T00:15:33.848303
6,Kaya Unite,40% dto. presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848310,2025-06-14T00:15:33.848311
7,Rally Kart,Hasta 40% dto. en vueltas todos los días presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848318,2025-06-14T00:15:33.848319
8,La Bodeguita Miguel Torres,50% dto. los viernes de junio con tu Tarjeta Visa Infinite,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848327,2025-06-14T00:15:33.848328
9,Wendys,Viernes 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848336,2025-06-14T00:15:33.848337
10,Espacio Caju – Stay and play café,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848344,2025-06-14T00:15:33.848345
11,Exclusivo Clientes Plan Océano,40% dto. en grandes marcas de vestuario y calzado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848353,2025-06-14T00:15:33.848355
12,Exclusivo Clientes Plan Cordillera,30% dto. en grandes marcas de vestuario y calzado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848363,2025-06-14T00:15:33.848364
13,ULTIMATE FITNESS,20% dto. adicional todos los jueves del mes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848372,2025-06-14T00:15:33.848373
14,Brando,25% dto. lunes presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848380,2025-06-14T00:15:33.848382
15,MacOnline Apple,Lo mejor de Apple en 4 a 24 cuotas sin interés con tus Tarjetas de Crédito del Chile,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848389,2025-06-14T00:15:33.848391
16,Danubio Azul,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848411,2025-06-14T00:15:33.848413
17,DO SUSHI,20% dto. jueves y viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848421,2025-06-14T00:15:33.848422
18,Trattoria Santtino,20% dto. martes y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848432,2025-06-14T00:15:33.848433
19,Prima Bar,20% dto . todos los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848440,2025-06-14T00:15:33.848441
20,El Nuevo Arriero,20% dto. lunes a viernes horario almuerzo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848448,2025-06-14T00:15:33.848449
21,La Divina Comida,20% dto. miércoles a viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848456,2025-06-14T00:15:33.848457
22,Under Armour,40% dto. viernes 13 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848464,2025-06-14T00:15:33.848465
23,Hush Puppies,40% dto. viernes 13 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848473,2025-06-14T00:15:33.848474
24,CAT,40% dto. jueves 12 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848481,2025-06-14T00:15:33.848482
25,Columbia,40% dto. jueves 12 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848489,2025-06-14T00:15:33.848490
26,Rockford,40% dto. miércoles 11 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848497,2025-06-14T00:15:33.848498
27,Crocs,40% dto. martes 10 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848513,2025-06-14T00:15:33.848515
28,Merrell,40% dto. martes 10 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848521,2025-06-14T00:15:33.848522
29,Zapatos.cl,40% dto. lunes 09 de junio en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848529,2025-06-14T00:15:33.848530
30,Cassis,"20% dto. los lunes en ""Cafetería"" de la carta ""Para Tomar""",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848537,2025-06-14T00:15:33.848538
31,Nikola,Paga en 4 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848546,2025-06-14T00:15:33.848547
32,Teatro Mori,30% dto. en obras,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848554,2025-06-14T00:15:33.848555
33,Majestic,30% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848562,2025-06-14T00:15:33.848563
34,Lineatre,20% dto. los lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848570,2025-06-14T00:15:33.848571
35,Yokono Sushi,35% dto. lunes a miércoles en retiro y delivery,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848577,2025-06-14T00:15:33.848578
36,Glam & Co,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848585,2025-06-14T00:15:33.848587
37,iO,20% dto. todos los días en compra presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848593,2025-06-14T00:15:33.848594
38,ZOO YORK,30% dto. todos los lunes en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848601,2025-06-14T00:15:33.848603
39,BondUP,"6 meses gratis de psicología, telemedicina y entretenimiento.",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848610,2025-06-14T00:15:33.848611
40,Hands & Company,30% dto. en servicios presenciales los días lunes y martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848618,2025-06-14T00:15:33.848619
41,FLIXBUS,25% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848629,2025-06-14T00:15:33.848630
42,Toke,20% dto. en compras presencial y online todos los lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848637,2025-06-14T00:15:33.848638
43,Bodega Parma,40% dto. todos los lunes de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848645,2025-06-14T00:15:33.848646
44,Kiara,50% dto. todos los lunes de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848653,2025-06-14T00:15:33.848654
45,Rappi,Disfrutar un nuevo sabor cada día,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848660,2025-06-14T00:15:33.848662
46,TERRA FORCE,20% dto adicional. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848668,2025-06-14T00:15:33.848669
47,SNOW FORCE,20% dto adicional. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848685,2025-06-14T00:15:33.848686
48,AQUA FORCE,20% dto adicional. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848694,2025-06-14T00:15:33.848695
49,DELTAMOTORS,20% dto. todos los días presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848701,2025-06-14T00:15:33.848702
50,De Flores y Floreros,10% dto. miércoles presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848709,2025-06-14T00:15:33.848710
51,BO Concept,15% dto. en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848717,2025-06-14T00:15:33.848718
52,7Veinte,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848842,2025-06-14T00:15:33.848846
53,Flux Solar,Compra tu planta solar de 6 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848856,2025-06-14T00:15:33.848858
54,EnelX,Paga en 13 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848865,2025-06-14T00:15:33.848867
55,CLUB DE PADEL DE LA FLORIDA,Hasta 25% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848873,2025-06-14T00:15:33.848875
56,MOTA,25% dto. en compras online todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848881,2025-06-14T00:15:33.848883
57,CAFFARENA,30% dto. en compras online todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848890,2025-06-14T00:15:33.848891
58,GRAVAT,30% dto. todos los días online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848899,2025-06-14T00:15:33.848900
59,DBS,20% dto. todos los miércoles en compra online con tus Tarjetas del Chile.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848907,2025-06-14T00:15:33.848908
60,Marathon,20% dto. adicional presencial y online.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848916,2025-06-14T00:15:33.848917
61,El Naturalista,Hasta 20% dto. en compra presencial lunes y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848924,2025-06-14T00:15:33.848925
62,PLANT ME,20% dto. presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848932,2025-06-14T00:15:33.848942
63,Zona Verde,Hasta 20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848950,2025-06-14T00:15:33.848951
64,Green Glass,15% dto. en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848958,2025-06-14T00:15:33.848959
65,ÜÑÜ,20% dto. online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848966,2025-06-14T00:15:33.848967
66,Biobrush,25% dto online todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848973,2025-06-14T00:15:33.848975
67,Maríabooth,15% dto. todos los días en compra online.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848981,2025-06-14T00:15:33.848982
68,Movistar,Paga en 13 hasta 24 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848989,2025-06-14T00:15:33.848991
69,Specialized,Paga 4 a 12 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.848997,2025-06-14T00:15:33.848999
70,Entel,Paga en 13 a 18 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849005,2025-06-14T00:15:33.849006
71,AUFBAU,Paga en 13 a 24 cuotas sin interés con tus Tarjetas de Crédito del Chile,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849013,2025-06-14T00:15:33.849014
72,Samsung,Paga hasta en 24 cuotas sin interés en compra online y tiendas.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849022,2025-06-14T00:15:33.849023
73,Calcetines Bacanes,20% dto. en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849030,2025-06-14T00:15:33.849031
74,Trauko,15% dto. todos los días en sitio web,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849038,2025-06-14T00:15:33.849039
75,MARLEY COFFEE,35% dto los miércoles online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849046,2025-06-14T00:15:33.849047
76,ChileLentes,Hasta un 25% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849054,2025-06-14T00:15:33.849055
77,Rotter y Krauss,Hasta 35% dto. martes en compra presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849062,2025-06-14T00:15:33.849063
78,Bouden,20% dto. martes online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849070,2025-06-14T00:15:33.849071
79,La Fête Chocolat,20% dto. los lunes presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849077,2025-06-14T00:15:33.849079
80,MDF,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849085,2025-06-14T00:15:33.849087
81,Doite,20% dto. en compras presenciales y online todos los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849093,2025-06-14T00:15:33.849094
82,Tommy Beans,Miércoles 40% dto. a través de la App de cada marca y 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849101,2025-06-14T00:15:33.849102
83,TESSA,20% dto. jueves presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849110,2025-06-14T00:15:33.849111
84,AV ODONTOLOGÍA,Hasta un 60% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849117,2025-06-14T00:15:33.849118
85,Restaurante Ana María,20% dto. miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849125,2025-06-14T00:15:33.849127
86,Bar Imperial,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849133,2025-06-14T00:15:33.849135
87,BANGKOK THAI,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849141,2025-06-14T00:15:33.849142
88,Ari Nikkei,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849149,2025-06-14T00:15:33.849150
89,Ramblas,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849156,2025-06-14T00:15:33.849157
90,Don Teo Santiago,20% dto. viernes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849164,2025-06-14T00:15:33.849165
91,Japón Ya,20% dto. miércoles y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849171,2025-06-14T00:15:33.849172
92,Barrica 94,50% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849179,2025-06-14T00:15:33.849180
93,Capogrossi,50% dto. los martes de junio con tu Tarjeta Visa Infinite,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849188,2025-06-14T00:15:33.849189
94,Transvip,15% dto en servicios,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849196,2025-06-14T00:15:33.849197
95,Green Lab,20% dto. jueves a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849203,2025-06-14T00:15:33.849205
96,Vietnam Dicovery,20% dto. martes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849211,2025-06-14T00:15:33.849212
97,La Cocina de Javier,30% dto. los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849219,2025-06-14T00:15:33.849220
98,Novu,20% dto. los días lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849226,2025-06-14T00:15:33.849227
99,PECES DE CIUDAD,20% dto. miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849233,2025-06-14T00:15:33.849234
100,Casona Del Virrey,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849241,2025-06-14T00:15:33.849242
101,Fabrics,Hasta 40% dto. en ropa de cama y baño,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849249,2025-06-14T00:15:33.849250
102,Bao Bar,40% dto. todos los sábados de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849256,2025-06-14T00:15:33.849258
103,Expendio,Hasta 30% dto. sábados y domingos,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849264,2025-06-14T00:15:33.849265
104,Restaurante Isabella,20% dto. martes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849321,2025-06-14T00:15:33.849323
105,BAR PLAZA,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849331,2025-06-14T00:15:33.849332
106,Gorilas,20% dto. jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849339,2025-06-14T00:15:33.849340
107,Uber Eats: McDonald’s,Los martes obtén 40% dto. en McDonalds,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849347,2025-06-14T00:15:33.849348
108,China Wok,Viernes 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849358,2025-06-14T00:15:33.849360
109,KFC,Jueves 30% dto. en compras presenciales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849366,2025-06-14T00:15:33.849368
110,Doggis,40% dto pidiendo por la App y 30% dto presencial los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849374,2025-06-14T00:15:33.849375
111,Juan Maestro,40% dto pidiendo por la App y 30% dto presencial los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849383,2025-06-14T00:15:33.849384
112,Dunkin’,30% dto. lunes y miércoles en compra presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849400,2025-06-14T00:15:33.849402
113,Taringuita Mall Sport,40% dto. todos los martes de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849411,2025-06-14T00:15:33.849413
114,PAD THAI,40% dto. todos los miércoles de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849419,2025-06-14T00:15:33.849421
115,Verde Sazón,40% dto. todos los miércoles de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849428,2025-06-14T00:15:33.849429
116,Vicenzo,40% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849436,2025-06-14T00:15:33.849437
117,Casa Morera,40% dto. todos los jueves de junio,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849444,2025-06-14T00:15:33.849445
